Layer 1,Layer 2,Layer 3,Layer 4,Layer 5,Layer 6,Layer 7,Layer 8,Layer 9,Layer 10
4.26892,7.70705,3.8506,7.92005,0,0,0,0,0,0
23.0524,33.0117,0.840858,1.81417,0,0,0,0,0,0
14.1304,32.4144,1.30223,0.271663,0,0,0,0,0,0
10.4034,16.0455,5.22248,0.0610898,0,0,0,0,0,0
15.6605,9.74162,14.0687,13.4494,0.047502,0,0,0,0,0
16.1569,20.1708,4.1278,8.32116,0.120541,0.26946,0,0,0,0
42.2806,8.98126,0.288074,0.0523928,3.01341,0,0,0,0,0
19.8001,27.2515,8.4108,1.39612,0,0,0,0,0,0
46.4041,9.86852,0.152973,0,0,0,0,0,0,0
25.9106,12.3396,19.0106,0.0742884,0,0.461566,0,0,0,0
13.8645,9.75141,6.29345,2.91603,0.404285,0,0,0,0,0
2.00821,21.9039,2.95921,2.91158,2.09159,0,0,0,0,0
26.9587,3.87327,0.426035,4.29833,0,0,0,0,0,0
16.2954,39.5513,4.53968,0.153629,0.0451977,0,0,0,0,0
12.7088,33.2367,0.403558,2.64091,0.0591273,0,0,0,0,0
16.3268,29.3518,0.866838,0.969104,0,0,0,0,0,0
19.0307,31.4316,3.23523,0,3.63805,2.53293,0,0,0,1.29945
47.5535,12.3989,1.45462,2.46772,0,0,0,0,0,0
23.0723,8.52907,4.68866,0.722362,0,0,0,0,0,0
20.0213,4.04894,3.26217,0,0,0,0,0,0,0
43.5396,0.796266,1.13775,0,0,0,0,0,0,0
23.2775,7.74043,3.02724,7.72012,0.0454698,0,0,0,0,0
34.8706,8.16739,4.92995,2.55271,0.0368963,0,0,0,0,0
13.9393,5.0691,1.48553,2.77248,0,0,0,0,0,0
61.6704,16.2751,0.0375622,0,0,0,0,0,0,0
26.9252,18.0516,0.338329,4.97662,0,0,0,0,0,0
16.1712,6.02225,1.33321,4.49966,0.766885,0.658008,0,0,0,0
16.213,3.15984,0.189596,0,2.76148,0,0,0,0,0
11.7817,24.8969,10.8239,0.756264,3.51477,0.082571,0,0,0,0
21.6148,11.2325,0.656587,0.681886,0.0585753,0,0,0,0,0
14.7873,16.0607,15.0074,8.16601,0.129835,0.64884,0,0,0,0
17.3779,9.46084,4.4277,3.36239,2.38725,0,0,0,0,0
3.86904,19.391,1.76792,3.16697,0.175394,0,0,0,0,0
13.0386,18.8311,4.02824,9.24564,0,0,0,0,0,0
17.0184,8.79234,9.28892,0,0,0,0,0,0,0
